POId,Site Name,SiteId,MR-Volume(KWh),D-REC Volume(KWh),%Tokenized
88079,Lalganj2,0618587d-34ba-4c3d-8085-50638461ced6,73342.71600000001,73342.716,0.9999999999999998
88079,Kasimabad,1cffb676-05d7-44ba-ad5d-60e30c6152f8,48780,48780,1
88079,Jangipur,a8d718be-b66d-4666-967b-adc013dec3ce,44828,44828,1
88079,Gohh,634be4c6-0d64-4a07-b3a7-4fa8a67004fb,60024,60024,1
88079,Ghosi,590a0868-5c24-456c-938e-c97e8b22ba7d,68232.844,68232.844,1
88079,Bikram,a2098ad5-a5cd-483b-a972-45fbe008356a,35178,35178,1
88079,Bhogaon ( mainpuri),b130db25-aba5-47a2-bfee-a580ab5caa07,39184,39184,1
88079,Bhadhaura,2dcdde4c-4f57-409a-8f4a-7d9cad0970ec,52012,52012,1
88079,Baskhari,2a91137d-de75-4e48-aba3-3cca9c87b32e,26235.67,26235.67,1
88079,Arwal,116de345-8e5b-47f5-bf9d-44b54be06fee,41190,41190,1
88079,Khajani,f1a7abc9-cd61-43c6-b102-8972559bfcce,47838,47838,1
96570SME,Aditya Kumar Pandya,68895cb5-7258-4b08-a601-9937ee415952,9993.3001,9610,0.9616442920592366
96570SME,Sarnaam,c97f4c65-f643-4319-b30f-014713252451,16655.7001,15911.9,0.9553426097051304
71402b,"DMS, East Legon",476a56b5-be4e-4850-bf1c-06fdaacacf3a,90568,90568,1
71402a,Premium Foods,8314080f-b478-48fb-bac7-a3fdc85359c6,3448216,3448216,1
99716,Abaetetuba 79D,edb5cf61-eefe-420b-b0c3-cbd115b7cf89,959412.8638,959305.79,0.9998883965349641
45374,Anantara,8b310acf-2126-4642-b998-705fb6f01624,1119820.2375113377,601557.88,0.5371914704246532
37816,"Gaigotha ",ec6238db-dc9f-46ec-b85d-357b9636ffaa,23712,23712,1
37757a,LN000318,8f8ea1af-e5fa-4d40-8808-e21ad03b4eb5,8650.300200000001,8634.3,0.9981503300891219
71402b,Automation Hub,7c3ea67c-5d1f-4fd2-8507-e53551fafdce,352377,352377,1
96570SME,GANGARISHI,d0d7bc8d-a241-4678-9835-d54bbe852f99,13606.400099999995,13023.9,0.9571892568409777
88079,Mungra Badshahpur,89fd65d4-0ad5-45bc-a4cc-ff80d7745520,53170,53170,1
88079,Gyanpur,7aeb942e-da00-43eb-9ec9-ab8a1ae5d6cf,26734,26734,1
88079,Saraymir,9be19ff7-9d87-4d95-b2a4-9cde8a07e141,66582,66582,1
88079,Sikariganj,14c29eb8-b726-443a-ba1e-5abd2028daf0,49674,49674,1
96570SME1,Suresh Pal,17ab0564-7709-4b96-a22b-2482686dffdd,5456.00548964,5442.05,0.9974421782260852
88079,Wazirganj,b3d538ed-1284-4ee5-bd74-94552a33b431,51918.399999999994,51918.4,1.0000000000000002
97312,Kyabirwa Surgical Center,84b96e2f-d15c-4538-a050-d4b45a2abf16,95005.6457014348,95004.745,0.9999905194956767
37757a,LN000288,9d0a5c1d-6ab1-412b-80fb-af58d38a0653,30519.300199999998,30491.7,0.9990956476780554
37757a,LN000312,52e80b5b-e5cd-4874-bdd8-66847dae8db1,7113.600200000002,7095,0.9973852621068019
88079,Kadipur,52edf2c2-f518-419d-90b8-fd841f54f4df,52228,52228,1
37757a,LN000295,c3427566-814a-428f-b4cd-9764f6f60e22,8273.0002,8212,0.9926265927081689
37757a,LN000310,6e6084a8-0913-4d91-8f88-0d2a90c5171e,17413.6702,17352.21,0.9964705774662023
37757a,LN000319,fc649895-7548-475b-ad7e-0a2b6e414fd6,6879.300200000001,6861,0.9973398166284413
37757a,LN000353,abac67f7-523c-40bd-be0c-2ba20158d8d8,9226.000199999999,9211.2,0.9983958162064642
88079,Bindra Bazar,d542691b-878d-44b8-b886-c98913fabcb2,68660,68660,1
37757a,LN000335,c8f50303-d133-4d2a-a426-48b49daedc87,5357.2002,5356.8,0.9999252967996229
88079,Khizer Sarai,fe596867-fe3a-423f-8768-26d02ecf856b,50176,50176,1
88079,Semariyawan,13346cfd-92bb-497e-a220-8309672f7609,40422,40422,1
88079,Rafiganj,d2b5ffa2-553b-4e9f-a306-77c27c2c5ff3,41906,41906,1
88079,Mahadeva,2822be00-3fda-45f8-b9d0-2016598b4cf4,54500,54500,1
88079,Madhepur,8d1cafba-91c0-478d-be9e-9a3ec65a54e9,48246,48246,1
