SiteId,CMRId,Token#,CertStartDt,CertEndDt,IsTokenized,IR Snt to Evident,Volume(Wh)
f9511755-0e2b-4ac7-9c72-0d94e0a57200,,,,,,,
6a479294-bfa1-4f8f-815f-ad2f079e1f26,0750bdba-2e2a-4863-98e0-5b14a02b6d5d,,,,true,,
cbf184b4-edc7-4f20-9321-ec30d789f4cd,409ff61f-a234-47c0-9e2f-6880f2716c6c,,,,true,,
68d87e1e-3208-46d5-bac5-1a04224d47c1,5fa38f92-4e5f-4f30-ba4b-961b1a0868c7,,,,true,,
c8f50303-d133-4d2a-a426-48b49daedc87,,,,,,,
0e20f9b2-5d8d-4db3-86a5-4da201adb2d0,,,,,,,
f27bd091-349c-4368-b010-6cfdf48ec744,a8a86b3e-a18f-4341-a732-6910effaa194,,,,true,,
636f157f-bb42-4716-8084-3968b6253672,,,,,,,
49c82977-efcd-4d88-80ff-a3aad4ee1451,,,,,,,
e2f60d1e-700b-417e-9ab9-86181d5240cb,,,,,,,
28a426bb-4445-4917-bcd3-69d2bc889623,200dcd49-bdee-44ec-9020-e0a8e0290128,,,,true,,
c07d3b3b-292b-4f94-8358-77d096d4cec4,,,,,,,
82c76133-c363-4262-bdb0-0a931bc45803,,,,,,,
f27bd091-349c-4368-b010-6cfdf48ec744,e220b1b4-e305-4a9f-aa09-133f8e556bf1,,,,true,,
d9fcd764-ef86-4c7d-8d38-cd7fa9082f79,c127d02a-e449-412e-85e4-03c431fa2c06,,,,true,,
2d04a4b3-d123-4dde-81f4-4af6a7340eef,,,,,,,
08ab5590-6492-492e-b517-9a40e8b50fa6,61a50761-2b5e-443b-b3fd-23d2fd6a84af,,,,true,,
e6699f95-e151-4fd2-8270-f61cd8610ebe,09290f98-6c43-42a8-b52a-bc4cfdbd8147,,,,true,,
c75fecf5-24ca-4507-bd41-6a1e30457108,,,,,,,
be7ab926-82d5-4016-a07c-887dac822395,,,,,,,
b6e48229-63e6-4eb2-b24d-6e5d369dec62,ff5cd702-e9fd-467e-85e1-1df9cb78130c,,,,true,,
fac9bdf2-e858-4560-aed1-c42f3c9e3f2a,,,,,,,
559fab73-e6b6-41a6-ad5c-37a2c007d6bb,bf1ce4df-6a26-42b6-b9ae-aa3650dc15d7,,,,true,,
983acfa4-378d-4ac7-ae15-4d6809cbe625,42d35d91-159e-4179-a16f-5677d9e330d7,,,,true,,
a2b503c4-0113-4b6a-8f77-321150abb999,,,,,,,
02c9a345-61e9-4d0c-b622-a4280130ba38,f205e4d3-1fe2-43da-a38d-3032b0f3040b,,,,true,,
704e2093-1e6c-4ad6-8dbc-a95803a92006,,,,,,,
4ffa5844-a964-4ed5-be96-8b6f08cb9162,c4d2944d-4093-45b8-89c5-78d406591684,,,,true,,
65cc0ae6-6df5-4c98-825c-3c7333018df4,bd9883eb-7c9a-4cf7-9608-05289789c0c8,,,,true,,
737e494e-d7f3-4a35-afc0-09a607ec844b,219e51dd-15d1-40bf-ad74-2941b31532f0,,,,true,,
d2fbc45c-0b8d-40f0-8d6d-e784c25a3354,364a8cd1-7ff4-4b5c-b36e-2604cfb30bdd,,,,true,,
c0f29efe-8ff9-456d-9ba4-29c1d4c98fcb,,,,,,,
968e897e-22ec-4dfa-b553-0e9f7d3e4b10,16916498-2c09-4e82-8956-0df96f256730,,,,true,,
f0574a11-8dee-4271-94b1-4ec37d8c9c7b,55dcebcb-26b7-475a-8485-3102d8ca4c7a,,,,true,,
df897b4a-d8cd-492a-ac83-c81a46ad7599,d1ff1a7e-0592-46ae-9224-47ab6f79ce95,,,,true,,
839951a3-8102-42ff-b1c5-6834f8235065,8bb93e2e-fcba-445c-a01f-6efebaf9a1d2,,,,true,,
d5308c5f-c9e2-473a-8393-12f073184d67,1a2d95d1-cd3c-4798-ac59-ea4a7abaeea0,,,,true,,
559fab73-e6b6-41a6-ad5c-37a2c007d6bb,5be429fb-4ffd-4d6e-a2b1-86b9d9180dfd,,,,true,,
e00cbc4b-afea-4c9f-a163-b6c717771c83,30381366-8fc5-4754-84e5-dab2b350e7b0,,,,true,,
f32b58fc-68a4-4752-93e6-47758d5422fe,4f6affaa-23c0-4f38-ac77-a1f2d067fe2b,,,,true,,
48fa7ad3-7df1-4a88-b5ec-0402cf19d0f5,,,,,,,
b5685f75-71c7-460c-80d0-fe517ffe2c56,7dfae345-c468-427a-961d-562b3505e846,,,,true,,
6ea5f28b-447c-4159-b8a2-401734d8858f,f5657c2f-911c-44cf-9c01-11120af21ac1,,,,true,,
f0583ea3-3e6f-4c7d-b261-65ab755b8db2,c29cb4b6-fd83-4b56-a392-7ad2173101cf,,,,true,,
35ee87a6-90fe-4304-a1bf-9a6ba76be84f,b0cc82b6-54e3-4bfb-a6c4-51afb436d1d7,,,,true,,
fbc5f1ee-1698-412a-8409-9613d5e1420c,,,,,,,
